Television,Mobile only,Computer/Laptop (With Internet),Without Internet,Good,Livable,Dilapidated,Class
56.8,53.7,5.8,7.5,64.1,31.6,4.3,YES
37.9,45,0.8,3.9,56.5,37.1,6.3,YES
79.4,64.2,11.7,11.9,73.1,25,1.9,YES
26,26.7,0.8,4.5,50.3,45.9,3.8,YES
18.7,20.7,0.4,3.9,47.2,48.9,3.9,NO
66.3,59.9,3.2,7.8,67.5,29.2,3.3,YES
8.7,12.4,0.4,4.2,38.3,58.1,3.6,NO
5.7,9.3,0.3,4,36.6,60.3,3.1,NO
38.2,42.9,1.5,5.4,55.5,35.9,8.6,YES
4.6,9,0.2,4,34.8,60.5,4.6,NO
2.9,7.4,0.1,4,33.7,61.6,4.6,NO
54.2,56.1,1.4,3.4,67.1,28.1,4.8,YES
27.5,25.2,0.7,3.5,44.6,50.9,4.5,NO
21.6,20.2,0.4,2.9,42.2,53.3,4.5,NO
58.3,51.3,2.2,6.6,56.8,38.6,4.6,YES
34,32.5,1,5.4,50.8,44.2,5,YES
28.6,27.7,0.6,4.7,48.3,46.3,5.4,NO
67.3,61.8,3.3,9.3,66.1,31.3,2.6,YES
43.5,40.5,1.4,4.9,61.2,35.8,2.9,YES
30.4,30.5,0.4,3.8,55.9,40.8,3.2,NO
77.1,66.1,4,7.9,74.8,23.1,2.1,YES
18.2,23.7,0.5,3.9,57,40.4,2.6,NO
12.3,19,0.2,3.4,55.9,41.5,2.5,NO
58.6,55.7,2.6,7.6,64.1,32.6,3.2,YES
42.7,42.9,1.5,5.2,63.6,33.5,3,YES
31.2,35.4,0.5,3.6,59.1,37.4,3.4,NO
73.9,63.3,4.1,9.3,75.6,22.7,1.6,NO
34.9,35.4,1,4.8,58.4,37.3,4.3,YES
26.4,28.8,0.6,4,54.4,40.7,4.9,NO
72.6,64.7,2.7,8.4,76.1,22,1.9,YES
41.5,42.3,1.2,4.3,63.7,33.1,3.2,YES
37.6,40,0.8,3.6,62.3,34.5,3.3,YES
65.3,55.9,3.8,8.8,72.5,25,2.6,YES
27.5,34.2,0.5,3.2,59.2,37.9,2.8,NO
24.7,32.5,0.3,3,57.8,39.2,2.9,NO
68.2,57.8,2.8,6,79.6,19,1.3,NO
56.2,52,2.5,6.8,68.7,29,2.3,YES
37.9,40.4,0.6,4.1,62.2,34.8,3,NO
75.7,64.3,4.5,9.8,75.6,22.9,1.5,NO
48.4,39.3,1.6,4.8,60.4,35.3,4.3,YES
37.3,32.1,0.5,3.5,55.6,38.9,5.5,NO
73.4,55.7,4,7.6,71.2,27.1,1.7,NO
40.1,36.6,0.9,4.2,58.8,36.3,4.9,YES
33.2,30.9,0.4,3.5,55.5,38.8,5.7,NO
65.8,57.5,2.9,6.7,70.9,27.2,1.9,YES
39.9,30.5,0.9,3.8,58.4,36.9,4.6,YES
34.7,25.4,0.7,3.4,57.9,36.7,5.4,NO
59,49.2,1.5,5.5,60.5,37.8,1.7,NO
39.8,28.9,0.8,4,57,37.2,5.8,YES
36.9,26.2,0.7,3.9,55.4,38.3,6.3,NO
58.2,46,1.7,5,67.3,29.7,3,YES
34.3,26.2,0.8,2.9,53.1,40,6.9,YES
34.3,26.2,0.8,2.9,53.1,40,6.9,YES
31.3,29.3,0.6,5.4,50.5,43.2,6.4,NO
31.3,29.3,0.6,5.4,50.5,43.2,6.4,NO
68.6,48,3.5,7.5,71.9,26.1,1.9,YES
45.7,35,0.9,4.8,63.1,33,3.9,YES
79.3,54.1,4.7,8.7,76,23,1,NO
66.7,49.4,4.1,7.7,66.8,30.8,2.4,YES
40.9,31.6,0.7,4.2,55.7,39.1,5.2,NO
78.9,57.8,5.8,9.3,72.1,26.8,1.1,NO
37.9,33.5,0.5,3.1,54.8,39.5,5.7,NO
33.3,29.5,0.4,3,53.5,39.9,6.6,NO
59.1,52.3,1.2,3.3,61,37.5,1.4,NO
45.6,35.6,0.8,4.3,59.6,36.3,4.1,YES
43.1,31.9,0.6,4.3,60.2,35.7,4.2,NO
56.5,51.6,1.3,4.4,57.4,38.9,3.7,YES
52.4,43.2,1.2,4.3,64.9,31.8,3.2,YES
41.1,36.3,0.3,3.5,60.2,35.6,4.2,NO
75.9,57.5,2.9,5.9,74.9,24,1.2,NO
40.5,40.3,0.9,3.3,58.5,37.6,3.9,YES
34.8,36.5,0.5,2.8,53.9,41.7,4.4,NO
66.3,57.7,2.6,5.5,79.5,18.9,1.6,NO
45.1,38.3,0.7,3.4,60.1,33.7,6.2,NO
41.8,35.9,0.4,2.8,59.9,33.9,6.2,NO
56.8,47,1.5,5.6,60.6,32.9,6.5,YES
47.3,43.3,1.1,3.7,59.4,36.2,4.4,YES
37.4,37.7,0.3,2.6,55,39.8,5.2,NO
78.2,60.8,3.5,7.2,73.4,24.9,1.7,NO
44.4,42.3,0.9,4.1,56.6,37.9,5.5,YES
37.9,37.6,0.4,3.7,54,39.7,6.3,NO
71,61.4,2.8,5.6,67.2,30.3,2.5,YES
39,33.6,0.7,3.6,53.3,41.6,5.1,NO
36.1,31.9,0.5,3.4,51.4,43.6,5,NO
58.2,44.9,2.1,5.2,66.1,28.3,5.6,YES
40.7,46.5,0.9,3.6,49.5,44.4,6.1,YES
34.8,43.7,0.4,3,46.4,46.9,6.7,NO
65.2,58.2,2.6,6.3,62.1,34.4,3.5,YES
33.6,41.3,0.6,3.5,46.1,45.8,8.1,NO
30.7,39.2,0.4,3.3,45.6,45.7,8.7,NO
48.4,51.9,1.3,4.4,48.8,46.2,5,YES
29.8,34.7,0.3,2.1,42,49,9,NO
29.8,34.7,0.3,2.1,42,49,9,NO
44.6,45,1.6,5.3,50.6,42.5,6.9,YES
37.2,41.6,1.2,5.7,46.9,45.2,7.9,YES
57.7,51.2,2.3,4.4,57.1,37.9,5,YES
39.7,39,0.8,3,45.8,47.1,7.1,YES
34.2,34.7,0.5,1.9,42.5,49.5,8,NO
58.7,53.7,2,6.8,57,38.8,4.2,YES
50.6,43.4,1.2,4.8,53.7,41.8,4.4,YES
45.9,40.6,0.9,4.2,52.7,42,5.3,YES
60,48.8,1.9,5.8,55.8,41.5,2.7,YES
35.1,38.4,0.2,2.5,42,51.8,6.1,NO
35.1,38.4,0.2,2.5,42,51.8,6.1,NO
40.7,42.2,1.2,3.7,50.6,42.8,6.6,YES
31.5,37.7,0.4,2.3,45.9,46.8,7.3,NO
66.9,54.9,3.5,7.7,64,31.6,4.4,YES
41.3,50.5,0.7,3.9,49.7,45.3,5,NO
36.8,48.2,0.4,3.5,47.6,47,5.3,NO
65.9,63.2,2.7,6.1,61,35.6,3.4,YES
